iter	Passed	Remaining
405	41437	9407	406	41533	9490
407	41594	9409	408	41655	9268
409	41742	9162
410	41804	9052
411	41874	8944
412	41913	8414	413	41976	8719
414	42045	8416	415	42105	8417	416	42193	8398
417	42266	8291
418	42320	8181
419	42418	8079
420	42472	7969
421	42544	7863
422	42596	7753
423	42669	7648
424	42752	7544
425	42812	7436
426	42879	7330
427	42940	7223
428	43001	7116
429	43078	7012
430	43144	6907
431	43207	6801
432	43262	6694
433	43328	6589
434	43395	6484
435	43449	6437	436	43512	6438	437	43577	6439	438	43625	6440	439	43691	5441	440	43751	5442	441	43825	5443	43947	5542
444	44014	5439
445	44089	5338
446	44169	5237
447	44225	5133
448	44274	5028
449	44348	4927
450	44409	4824
451	44466	4722
452	44518	4618
453	44593	4518
454	44667	4417
455	44738	4316
456	44823	4217
457	44872	4114
458	44934	4013
459	45026	3915
460	459	45043	3461	460	45101	3462	461	45153	3463	462	45251	3464	45368	3414
465	464	45410	3466	465	45451	3467	466	45521	3468	45639	3016
469	45713	2917
470	469	45711	2471	470	45801	2472	471	45858	2473	472	45913	2474	473	45969	2475	474	46029	2476	46138	2224
477	46197	2126
478	46251	2027
479	478	46241	2480	46350	1830
481	480	46351	1482	481	46400	1483	482	46459	1484	483	46498	1485	484	46567	1486	485	46616	1487	486	46666	1488	487	46706	1489	488	46750	490	4489	46789491	4490	46830492	4491	46882493	4492	46917494	4493	46963495	4494	47006496	4495	47059497	4496	47109498	4497	4713499	47235	0
177	94
499	47218	0
0
